stop_id,stop_name,stop_lat,stop_lon
"10174584","ป้ายรถประจำทาง แยกวัดเกาะ","13.9021272","100.612494"
"10174583","ป้ายรถประจำทาง หมู่บ้านเขมรัฐ","13.7837716","100.4049198"
"10174582","ป้ายรถประจำทาง ห้างเซ็นทรัลปิ่นเกล้า","13.7780691133","100.4777057032"
"10174581","ป้ายรถประจำทาง รพ. เจ้าพระยา","13.7840966","100.4720583"
"10174580","ป้ายรถประจำทาง","13.753743797","100.4939743951"
"10174579","ป้ายรถประจำทาง ซีเมนต์ไทย โฮมมาร์ท","13.788311","100.36096"
"10174578","ป้ายรถประจำทาง โรงเรียนฤทธิยะ","13.9159243","100.6206601"
"10174577","ป้ายรถประจำทาง หมู่บ้านพลอยแก้ว","13.7887779","100.3568844"
"10174576","ป้ายรถประจำทาง หอประชุมกานตรัตน์","13.9190327056","100.6225495706"
"10174575","ป้ายรถประจำทาง แยก คปอ.","13.9232574","100.6249775"
"10174574","ป้ายรถประจำทาง หมู่บ้านวานา","13.7887769","100.3517956"
"10174573","ป้ายรถประจำทาง ซอยแอนเน็กซ์","13.936245","100.6250882"
"10174572","ป้ายรถประจำทาง ซอยพหลโยธิน 62/2 แยก 2-1","13.945037","100.6233903"
"10174571","ป้ายรถประจำทาง หมู่บ้านรินทร์ทอง","13.9495625","100.6429173"
"10174570","ป้ายรถประจำทาง โรงแรมดอนอินทร์","13.9476858","100.6427648"
"10174569","ป้ายรถประจำทาง เทศบาลคูคต","13.941513","100.6421541"
"10174568","ป้ายรถประจำทาง หมู่บ้านลดาวัลย์","13.7885355","100.3416309"
"10174567","ป้ายรถประจำทาง ตรงข้ามวัดโพสพ","13.9397962","100.6419837"
"10174566","ป้ายรถประจำทาง บริษัทนครชัยแอร์หมอชิต 2","13.8281607","100.551939"
"10174565","ป้ายรถประจำทาง สภต.คูคต","13.9340664","100.641569"
"10174564","ป้ายรถประจำทาง บริษัทตรีเพชร","13.8246563","100.5578793"
"10174563","ป้ายรถประจำทาง มหาวิทยาลัยมหิดลศาลายา","13.7960494","100.3274204"
"10174562","ป้ายรถประจำทาง ฮั่วเซ่งฮง","13.800001","100.327338"
"10174561","ป้ายรถประจำทาง หมู่บ้านลัลลี่วิลล์","13.9321899","100.6708868"
"10174560","ป้ายรถประจำทาง โรงเรียนวัดนวลนรดิศ","13.7194106439","100.3954243741"
"10174559","ป้ายรถประจำทาง หมู่บ้านเอราวัณ","13.9324614","100.676798"
"10174558","ป้ายรถประจำทาง สถานีรถไฟศาลายา","13.801303","100.324232"
"10174557","ป้ายรถประจำทาง ซอยสุนีย์","13.9323246","100.6485042"
"10174556","ป้ายรถประจำทาง การเคหะ","13.9327372","100.6842098"
"10174555","ป้ายรถประจำทาง พุทธมณฑลสาย 2","13.7099973","100.3954027"
"10174554","ป้ายรถประจำทาง โรงเรียนผ่องสุวรรณ","13.9321697","100.653574"
"10174553","ป้ายรถประจำทาง ซอยเปียร์นนท์","13.9320136","100.660417"
"10174552","ป้ายรถประจำทาง วิเชียร คลอง 3","13.9319517","100.6640989"
"10174551","ป้ายรถประจำทาง สุขประชาสวรรค์","13.9100809","100.5065306"
"10174550","ป้ายรถประจำทาง วัดคลองชัน","13.93291","100.6891566"
"10174549","ป้ายรถประจำทาง กรมยุทธศาสตร์ทหารเรือ","13.8023525","100.307143"
"10174548","ป้ายรถประจำทาง","13.8063365","100.5483254"
"10174547","ป้ายรถประจำทาง คลอง 5","13.9334529","100.7064136"
"10174546","ป้ายรถประจำทาง หน้าธนาคารไทยพาณิชย์","13.5828767","100.7969658"
"10174545","ป้ายรถประจำทาง บริษัทเสริมสุขนนทบุรี","13.9515388","100.5308694"
"10174544","ป้ายรถประจำทาง วัดช่องลมนนทบุรี","13.9453899","100.5370806"
"10174543","ป้ายรถประจำทาง ศาลา อบต.","13.9335177","100.7095822"
"10174542","ป้ายรถประจำทาง สวนสิริกิติ์","13.8054221","100.5479732"
"10174541","ป้ายรถประจำทาง โรงเรียนเทคโนโลยีกรุงธน","13.7084663","100.3802253"
"10174540","ป้ายรถประจำทาง","13.7910795","100.5426401"
"10174539","ป้ายรถประจำทาง วัดแจ้งลำหิน (วงแหวน)","13.9336536","100.713938"
"10174538","ป้ายรถประจำทาง เซียร์รังสิต","13.9599114361","100.6209111926"
"10174537","ป้ายรถประจำทาง สนามกอล์ฟธัญธานี","13.9333183","100.6998978"
"10174536","ป้ายรถประจำทาง","13.7921293","100.5368093"
"10174535","ป้ายรถประจำทาง รพ.แพทย์รังสิต","13.9634522377","100.6204950712"
"10174534","ป้ายรถประจำทาง สะพานแดง","13.7926317","100.5344779"
"10174533","ป้ายรถประจำทาง โรงงานชัยบูรณ์","13.9333554","100.7033323"
"10174532","ป้ายรถประจำทาง ซอยติวานนท์ 39","13.8824943","100.5129361"
"10174531","ป้ายรถประจำทาง ปตอ.","13.7970631","100.5221413"
"10174530","ป้ายรถประจำทาง โรงเรียนพระโขนงวิทยา","13.7126297","100.5893101"
"10174529","ป้ายรถประจำทาง หมู่บ้านนิศาชลอ้อมใหญ่","13.7093501","100.2688254"
"10174528","ป้ายรถประจำทาง ไปรษณีย์","13.9338626","100.7184491"
"10174527","ป้ายรถประจำทาง วัดหลวง","13.8233958","100.5229114"
"10174526","ป้ายรถประจำทาง","13.8954521929","100.5533189016"
"10174525","ป้ายรถประจำทาง โรงงานไทโย","13.934318","100.7351542"
"10174524","ป้ายรถประจำทาง ตรงข้ามห้างเอดิสัน","13.7850597618","100.5114893737"
"10174523","ป้ายรถประจำทาง หมู่บ้านฟ้าปิยรมย์","13.9345024","100.739728"
"10174522","ป้ายรถประจำทาง สถานีดับเพลิงบางแค","13.7113663","100.4168623"
"10174521","ป้ายรถประจำทาง วงศ์สว่าง ซ.13","13.821627","100.5210453"
"10174520","ป้ายรถประจำทาง โรงพยาบาลวชิระ","13.7797574","100.5091329"
