id,name,lat,long,police,road,district,description
3147,ตรงข้ามบิ๊กซีเอ็กซ์ตร้า อ่อนนุช,13.710423,100.602025,พระโขนง,อ่อนนุช,วัฒนา,
3148,(ยกเลิก) แยกสวนหลวง (ซอยอ่อนนุช 58),13.712129,100.642077,พระโขนง,อ่อนนุช,สวนหลวง,
3149,หมู่บ้านมิตรภาพ (ซอยอ่อนนุช 46),13.71066164,100.6344983,พระโขนง,อ่อนนุช,สวนหลวง,
3150,ตรงข้ามวัดต้นไทรย์ (ซอยอ่อนนุช36),13.709679,100.626015,พระโขนง,อ่อนนุช,สวนหลวง,
3151,ตรงข้ามวัดมหาบุศย์ (ซอยอ่อนนุช6),13.712221,100.606234,พระโขนง,อ่อนนุช,สวนหลวง,
3152,วัดใต้ (ซอยอ่อนนุช 3) (ป้ายหาย),13.711727,100.604207,พระโขนง,อ่อนนุช,สวนหลวง,
3153,วัดทองใน (ซอยอ่อนนุช 25),13.709587,100.623566,พระโขนง,อ่อนนุช,สวนหลวง,
3154,วัดต้นไทรย์,13.709918,100.626696,พระโขนง,อ่อนนุช,สวนหลวง,
3155,ตรงข้ามซอยอ่อนนุช 42,13.71013551,100.6287352,พระโขนง,อ่อนนุช,สวนหลวง,
3156,ตรงข้ามหมู่บ้านอ่อนนุชพัฒนา,13.710884,100.63568,พระโขนง,อ่อนนุช,สวนหลวง,
3157,ซอยอ่อนนุช 47,13.7124325,100.6423927,พระโขนง,อ่อนนุช,สวนหลวง,
3158,ไปรษณีย์อ่อนนุช,13.7140227,100.6476731,ประเวศ,อ่อนนุช,สวนหลวง,
3159,ธนาคารทหารไทย สาขาสี่แยกอ่อนนุช-ศรีนครินทร์,13.713122,100.644799,ประเวศ,อ่อนนุช,สวนหลวง,
3160,ตรงข้ามไปรษณีย์อ่อนนุช,13.71437905,100.6478663,ประเวศ,อ่อนนุช,สวนหลวง,
3161,โรงพยาบาลจุฬาลงกรณ์,13.734511,100.534337,ปทุมวัน,อังรีดูนังต์,ปทุมวัน,
3162,สภากาชาดไทย,13.732135,100.533812,ปทุมวัน,อังรีดูนังต์,ปทุมวัน,
3163,วิทยาลัยพยาบาลตำรวจ,13.74303602,100.5355781,ปทุมวัน,อังรีดูนังต์,ปทุมวัน,
3164,สนามม้าปทุมวัน,13.73920358,100.5350025,ปทุมวัน,อังรีดูนังต์,ปทุมวัน,
3165,คณะรัฐศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,13.733601,100.533952,ปทุมวัน,อังรีดูนังต์,ปทุมวัน,ตำแหน่งไม่ตรงมติ21/2553
3166,โรงเรียนสาธิตมหาวิทยาลัยศรีนครินทรวิโรฒปทุมวัน,13.7393252,100.5346997,ปทุมวัน,อังรีดูนังต์,ปทุมวัน,
3167,คณะสัตวแพทย์ จุฬาลงกรณ์มหาวิทยาลัย,13.74172974,100.5350872,ปทุมวัน,อังรีดูนังต์,ปทุมวัน,
3168,แยกเฉลิมเผ่า,13.74477571,100.5355737,ปทุมวัน,อังรีดูนังต์,ปทุมวัน,
3169,วัดราชประดิษฐ์,13.749102,100.496174,พระราชวัง,ราชินี,พระนคร,
3170,ปากคลองตลาด (คลองหลอด),13.74392325,100.4962563,พระราชวัง,อัษฎางค์,พระนคร,
3171,ข้างกรมศุลกากร,13.713292,100.568193,ท่าเรือ,อาจณรงค์,คลองเตย,
3172,ตรงข้ามมณฑลทหารบกที่ 11 (ซอยจักรทิพย์),13.78394,100.523279,สามเสน,อำนวยสงคราม,ดุสิต,
3173,ตรงข้ามโรงเรียนนาฎศิลป์สัมพันธ์,13.784907,100.521765,สามเสน,อำนวยสงคราม,ดุสิต,
3174,สันนิบาตสหกรณ์แห่งประเทศไทย,13.779041,100.516552,ดุสิต,พิชัย,ดุสิต,
3175,ตรงข้ามโรงเรียนวชิราวุธวิทยาลัย,13.776515,100.515353,ดุสิต,พิชัย,ดุสิต,
3176,โรงเรียนนาฎศิลป์สัมพันธ์,13.785441,100.521056,สามเสน,อำนวยสงคราม,ดุสิต,
3177,มณฑลทหารบกที่ 11,13.7843564,100.5228222,สามเสน,อำนวยสงคราม,ดุสิต,
3178,ปรีชาก่อสร้าง (ซอยเทพประทับ),13.786757,100.518945,สามเสน,อำนวยสงคราม,ดุสิต,
3179,วัดใหญ่ศรีสุพรรณ,13.72701573,100.4895012,บางยี่เรือ,อินทรพิทักษ์,ธนบุรี,
3180,ซอยอินทรพิทักษ์ 5,13.72675704,100.4897018,บางยี่เรือ,อินทรพิทักษ์,ธนบุรี,
3181,ซอยอิสรภาพ 17,13.734136,100.490353,บุปผาราม,อิสรภาพ,ธนบุรี,
3182,สุสานมุสลิมดาวุดีโบห์รา (ซอยอิสรภาพ 30),13.73715109,100.4860677,บางกอกใหญ่,อิสรภาพ,บางกอกใหญ่,
3183,ซอยอิสรภาพ 26,13.735228,100.489198,บางยี่เรือ,อิสรภาพ,ธนบุรี,
3184,ซอยอิสรภาพ 22 (ธนาคารกรุงไทยสาขาสี่แยกบ้านแขก),13.732951,100.492134,บุปผาราม,อิสรภาพ,ธนบุรี,
